Name,Id,Lat,Lng,Address,Features,Agoda,Website,Tel,SourceImage,Region
H+ Yangji Hospital (에이치플러스 양지병원),mdcl_3562783,37.4844407371,126.9324886413,"1636 Nambusunhwan-ro, Gwanak-gu, Seoul (08779)",Clinic,,,,,
HERSHE Plastic Surgery (허쉬성형외과의원),mdcl_3549377,37.5209913684,127.0495019551,"2nd-4th Floors, 730 Samseong-ro, Cheongdam-dong, Gangnam-gu, Seoul (06073)",Clinic,,,,,
Hakeem Travel Korea (하킴트래블코리아),mdcl_3539693,37.5179193723,126.8871668279,"7th Floor, 10 Seonyu-ro 9-gil, Yeongdeungpo-gu, Seoul (07281)",Clinic,,,,,
Hansarang Hospital (의료법인 서전의료재단 한사랑병원),mdcl_3364734,37.3071320362,126.8484512468,"345 Gwandeok 1-ro, Sangnok-gu, Ansan-si, Gyeonggi-do (15494)",Clinic,,,,,
Hanshin Medipia Health Care ((사) 정해복지부설 한신메디피아의원),mdcl_3366169,37.5127832221,127.0068560705,"(3rd Floor), 94 Jamwon-ro, Seocho-gu, Seoul (06520)",Clinic,,,,,
Hanyang University Seoul Hospital (한양대학교병원(서울)),mdcl_3549549,37.5597089743,127.0428959030,"222-1 Wangsimni-ro, Seongdong-gu, Seoul (04763)",Clinic,,,,,
HappyMedion ((주)해피메디온),mdcl_3364607,37.5041543802,127.0464777071,"(#401), 323 Teheran-ro, Gangnam-gu, Seoul (06151)",Clinic,,,,,
Healingeye Clinic (힐링안과의원),mdcl_3549447,37.5044011894,127.0250713153,"10th-11th Floors, 808 Tower, 470 Gangnam-daero, Gangnam-gu, Seoul (06123)",Clinic,,,,,
"Healthpedia Co., Ltd. (㈜헬스피디아)",mdcl_3539793,37.5607968483,126.9934475995,"#1014, 2 Toegye-ro 36-gil, Jung-gu, Seoul (04626)",Clinic,,,,,
Heartner (하트너),mdcl_3575672,37.5322955965,126.7376745016,"2nd Floor, 5-9 Ojosan-ro 21beon-gil, Gyeyang-gu, Incheon (21080)",Clinic,,,,,
Herneclinic (에르네의원),mdcl_3364728,37.5023264116,127.0240159147,"(#301-304), 59 Seocho-daero 77-gil, Seocho-gu, Seoul (06611)",Clinic,,,,,
High Eye Center (하이안과),mdcl_3467109,37.5173801727,127.0214796083,"3F, 119 Dosan-daero, Gangnam-gu, Seoul (06035)",Clinic,,,,,
"Himedi, Inc. (하이메디)",mdcl_3563137,37.5013517384,127.0359426346,"4th Floor, 6-9 Teheran-ro 25-gil, Gangnam-gu, Seoul (06132)",Clinic,,,,,
Human Care Service ((주)휴먼케어서비스),mdcl_3441540,35.1761940203,129.1258743142,"#1012, 10F, 1-dong, 99 Centum dong-ro, Haeundae-gu, Busan (48059)",Clinic,,,,,
Hyein Medical Foundation Medical Corporation Hankook   Hospital (의료법인 혜인의료재단 한국병원),mdcl_3366347,33.5001635355,126.5171153570,"(Samdo 1(il)-dong), 193 Seogwang-ro, Jeju-si, Jeju-do) (63183)",Clinic,,,,,
I'mdr. LLC. (아임닥터 유한책임회사),mdcl_3441496,37.5583964706,126.9568315593,"3F, 6-3 Bugahyeon-ro 2-gil, Seodaemun-gu, Seoul (03757)",Clinic,,,,,
